,userID,tag,content,date,year,label
186,obov5116,→,同理，龍妹出手大方，一樣交得到,07/30,2022,1
187,st2913sbck,→,苦無證據,05/20, 2022,0
188,psy792,→,龍女 龍妹,10/02,2021,1
189,shampoopoo,→,而且對肥宅來說台女長的比vt 醜嘛 所,09/12,2021,0
190,coeXist,推,政黑早就在打預防針了 還發文說綠粉也希,11/17, 2022,0
191,leffyiscome,推,胖虎豬哈哈哈,09/17,2019,0
192,Defence24,推,藍綠真的都是垃圾,11/08, 2022,0
193,Sam717,→,因為很多嬯婊骨盆前傾或根本大屁股肥婆,08/31,2021,1
194,kinkilove,推,鐘樓怪人最有印象,12/28, 2022,0
195,picacuo,推,小腿好粗...走路姿勢也...怎麼可能2萬付,04/24,2022,1
196,flicker36,推,終於,06/15, 2022,0
197,bust222,推,消波塊,01/02, 2022,0
198,okichan,推,那是鳥仔腳吧嘔嘔嘔嘔嘔,01/04,2022,2
199,galoopboy,噓,噁心胖,09/25,2021,1
200,tearness,噓,肥宅腿 嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔,12/25,2021,1
201,dylancdylanc,→,兩篇文章都有同樣掛名的人 嘿嘿..,09/23, 2022,0
202,bcismylove,推,難道又多一個心機肥婆 ?,12/11,2014,1
203,megalink,噓,有隻又肥又醜的貓不管怎麼洗都臭信不信,10/23,2022,0
204,ahw12000,推,台積電搬到一半 等搬完,11/26, 2022,0
205,diyaworld,推,游泳池監視器表示：……,09/27, 2022,0
206,zxzzzzzzzzzz,→,龍妹想吃掉你,09/11,2022,1
207,vow70,→,那個死肥豬果然又亂解釋防疫規定了，把在包,03/30,2022,1
208,cutehale,推,KMT新北很穩,08/15, 2022,0
209,hosen,→,選奶大腿粗的,04/11,2022,1
210,fp737,推,這咖真的沒救了,05/08, 2022,0
211,analyzer,→,啊！,08/09, 2022,0
212,a7788783,→,肥宅肚沒有適合的防彈背心尺寸,02/27,2022,1
213,sonyabear,噓,是不是扁奶台女眼紅啊？,11/18,2021,2
214,AFISH111,推,那就是死肥婆阿,10/14,2022,1
215,ansfan,→,沒奶子,08/14,2022,2
216,fcz973,推,卸任回去台大醫院的話算公務員身分嗎，小,12/22, 2022,0
217,homerunball,→,黨工貢獻良多,10/11, 2014,0
218,HayamaAkito,推,太瘦 那個骨頭撞到不蘇胡,07/04,2022,2
219,max0928895,推,"傻了,龍妹肥宅怎辦,就說他是孝子孝女啊,然後有遠大抱",06/30,2015,1
220,ambitious,噓,只要有錢就算再醜再肥 女生還不是一樣,10/03,2021,1
221,albertfeng,推,肥肚大叔能跑五百障礙嗎,12/30,2021,1
222,musicfire,→,會殿堂就一堆裝神弄鬼的了,05/06, 2022,0
223,huhu0830,推,龍妹性慾都很強的 你稍微安慰她一下 馬,10/31,2022,1
224,aggressorX,推,老實=醜=沒錢=肥=臭,12/25,2021,1
225,ming5566,噓,滾啦死肥豬幹,10/29,2021,1
226,mk5520,→,不是龍妹，我可是不要的喔,11/08,2022,1
227,cynthiajul,→,不過龍妹的男友多半也是其貌不揚的,09/01,2021,1
228,pizzafan,推,對呀~ 都沒有人出來負責 KMT笑呵呵!,10/16, 2022,0
229,Rex8082,噓,被4個肥宅醜男追會開心？,10/21,2021,1
230,hakuoro,→,甲甲都擺不平 還想搞定HIV？,12/03, 2021,0
231,ponchicha,噓,噁心,09/06, 2022,0
232,hyperdunk,→,因為你身邊都龍妹,11/02,2022,1
233,oneyoung1121,→,覺,12/11, 2021,0
234,JASONGOAHEAD,推,前山有個崔粗腿 後山有個崔腿粗,07/08,2022,1
235,gaym19,→,小金人也拿到了人生成就全解鎖了有差嘛,04/03, 2022,0
236,shingostrong,推,"支持被統一,少一個被字",10/30, 2021,0
237,kcclasaki,推,只有對龍妹才有,01/07,2022,1
238,cookiecloud,噓,全都扁奶滾啦幹,04/15,2022,2
239,whitefang10,推,不當聯結禁止原則,04/28, 2022,0
240,cc02040326,→,8+9不是瘦排骨就是大肥豬,10/26,2021,3
241,WAXNSIM,→,樓下噁男專門跟騷粗腰小奶肥龍。,06/15,2022,1
242,pkpk23456,→,選完之後母豬又會去跟死胖子握手啦！,01/09,2022,1
243,toro313,推,:受害者的孫女在臉書表示阿，台鐵就是擺明想河蟹過去,07/07, 2014,0
244,JackaLMeI,推,啊不是中國台灣惹 綠共還想演R,08/22, 2022,0
245,miloisgood,推,有南部死忠撐著 不怕,09/01, 2022,0
246,fur,→,他真的胖得好噁心,09/20,2022,1
247,TREKKER,→,雨夜難辨識非發光反光物體,05/02, 2022,0
248,grayair,推,b17太神啦,08/14, 2021,0
249,sunnyyoung,推,正妹求對比度 龍妹求曝光率,09/01,2021,1
250,shadowdio,推,高調 讓人民看看綠師的邏輯,10/07, 2022,0
251,YingJiou5566,噓,眼科醫生比骨科還廢,11/24, 2021,0
252,pswen,→,友，就算很醜的也有男友所以跟肥沒關係吧,07/15,2022,1
253,milk250,→,調侃男的胖子:哈哈哈神豬  調侃女的胖子:,02/20,2022,1
254,Mcnair,推,應該是個龍妹吧，正妹的話早撲上去了,02/02,2022,1
255,s6210603,→,他們連垃圾肥婆都能洗推了 有啥好意外,07/17,2019,1
256,senior,→,:我在那邊看到也不乏就事論事與邏輯在回你的 我也很認真回,10/15, 2013,0
257,mmnnoo      ,推,快叫肥婆起床…,05/05,2022,1
258,inshadow,→,又肥回來了? 發覺自己變瘦變醜?,10/28,2021,0
259,fony1029,推,竹科肥宅還能嫌人胖,11/30,2021,1
260,stvn2567,→,進得成再說 分水嶺之後台日就沒什麼進,06/22, 2022,0
261,fcuk9981,推,死肥豬幹你娘,03/31,2022,1
262,nalthax,推,也可以減少肥肚,09/25,2022,1
263,newAC,推,很快就會被洗掉了，要去鴻海自己就要有死的體悟。,03/06, 2018,0
264,DongWooNeKo,噓,肥宅我周邊沒人 我太醜都被嚇跑了,05/25,2019,4
265,NSRC,推,"看過現場ＣＣＲ,矮秃肥老醜窮包莖洋人都贏你",09/30,2021,1
266,eric2016,→,春年華的女孩兒，反觀醜陋肥宅呢？等人,04/19,2022,1
267,coldcolour,推,他真的是台獨教父XDDDDD,01/15, 2016,0
268,benptt,→,看臉，正妹40萬便宜，龍妹4百都貴。,09/26,2021,1
269,ghghfftjack,推,肥宅你知道吃兩餐 吃太多還是會胖嗎,09/12,2022,1
270,poqwiuer,噓,肥宅 少年禿醜窮,10/26,2021,1
271,boyawake,→,到，現在選舉的議題被疫情超過了，她自,05/16, 2022,0
272,momo3921d,推,swear大真專業,11/15, 2022,0
273,r0ck123,噓,這胖子真噁心,07/29,2022,1
274,jurry126,推,台灣的行政方式很繁鎖和美國會差很多吧,12/17, 2022,0
275,eternalmi16,噓,馬念先的註解...,07/03, 2022,0
276,GGrunrundela,噓,何外型優勢 又醜又肥還禿頭 也沒朋,11/18,2022,1
277,milkBK,→,9萬:那我就放心了,04/12, 2022,0
278,newstyle,→,應該用又胖又醜...,06/02,2022,1
279,monitor,→,一白遮三醜 一胖毀所有,09/17,2022,1
280,rotiars,推,新年快樂,01/01, 2022,0
281,cosmite,推,五樓中獎了嗎,09/27, 2022,0
282,bluesox,推,幹 可以停止發龍妹的新聞嗎？ 拜託,10/09,2021,1
283,paul2chiu,推,肥 醜,05/31,2022,1
284,Kazetachinu,噓,又肥又醜誰要簽,04/19,2022,1
285,iam0718,推,沒差 有人尋仇燒死人 大律師會說個案,11/15, 2021,0
286,cattgirl,推,肥婆,10/15,2021,1
287,Mayinggo,噓,劉宇席死肥豬必噓,06/29,2022,1
288,ptrpoint,推,太久沒拿筆，寫字會怪怪,08/29, 2022,0
289,kobedalanpa,→,肥婆誰幹得下去,11/30,2021,1
290,derrick1220,→,級醜男肥豬ㄅ,08/02,2022,1
291,be00148,推,沒有肥肚吧  腳也是很細,07/22,2022,0
292,crimson11,→,就像你各位覺得龍妹很噁心 將心比心,08/27,2021,1
293,mk5520,推,看上了120公斤以上的龍妹,11/08,2022,1
294,wonder007,→,跟吃炸銀絲卷根本同類,09/29, 2022,0
295,moy5566,推,麥克長得跟骷髏人一樣,08/26,2022,2
296,aswq17558,推,薰雞肥婆2號  就決定是你惹,01/29,2016,1
297,snow7654321,推,那個甜不辣手體重至少90up,10/21,2022,1
298,Travels,噓,這樣腿嫌粗？有種po自己的照片上來看,01/12,2022,1
299,kilof,推,推,09/16, 2018,0
300,Derrick906,噓,…,10/01, 2022,0
301,dinotea,推,告,12/22, 2021,0
302,loadingN,噓,肥宅肚子變大了 習近平不用負責嗎,12/07,2021,1
303,c4658860,→,這賣肉的龍妹一直有公關洗？比他好看的,05/09,2022,1
304,johnhmj,→,肥肚,09/20,2021,1
305,bill403777,噓,太肥 太醜,10/25,2021,1
306,e2167471,→,承認自己是龍妹只會跳針別人雙標的吧,01/17,2022,1
307,aqsss,推,暖       歐米龍妹妹嗨,04/27,2022,0
308,bairn,噓,他之前跟Roy Jones打的那場比老梅對朝倉跟,09/26, 2022,0
309,StNeverRush,→,還在搖,11/14, 2021,0
310,sandy0928,→,好好開車！,11/03, 2021,0
311,king123,推,這裡的豪宅保全看不起牙醫陳時中,06/29, 2022,0
312,gigongwen,噓,這廢文哀低怎麼又出現了,05/17, 2022,0
313,Surffie,推,沒帶龍妹你會發現其實是普妹,09/01,2021,1
314,kcclasaki,→,跟他說環奈的腿超胖,03/28,2022,1
315,trywish,→,肥宅喔，就算肥宅也有瘦過的時間。而且胖,03/26,2022,0
316,aa01081008tw,→,最新影片.水桶腰.手臂也晃起來了XD,08/27,2021,1
317,bighorse0,推,覺得只是走了捷徑 以為自己有其他優點,06/19, 2022,0
318,wonder007,推,真的是惡魔旅館的肥婆= =,06/01,2022,1
319,mxr,推,笑死 XDDD,12/27, 2021,0
320,VVVV5555,噓,幹你老師比看到肥婆比基尼那種詐騙心情還糟,10/13,2020,1
321,adwowcuthand,→,被捧上天，其中一個老龍妹還曾經被,11/03,2021,1
322,deepdish,噓,醒醒 你沒有朋友 自己不追龍妹怪東怪西,09/01,2021,1
323,pold123,噓,哇，好肥的肚子,05/23,2017,1
324,WalkinCloud,→,老師當年還用 金片幫我們燒錄,07/15, 2022,0
325,perasa,噓,是大陸鵬跟肥豬燦嗎,10/31,2022,1
326,colan8,推,隔著口罩都覺得醜+胖 真有自信,09/22,2021,1
327,Chuchushoe,推,你終究要回歸北軍的,08/02, 2022,0
328,fmp1234,推,我這邊都龍妹，很親切的那種。,06/08,2022,1
329,HeadTaker,噓,又醜又黑又胖又跨性別，太正確了！,11/12,2022,1
330,achun1212,推,瘦皮猴先練好再來找人麻煩啦，真的有,10/05,2022,2
331,hw1,噓,這種不禮讓行人的應該直接吊照免得哪天真的輾,01/10, 2022,0
332,thisu,推,再瘦下去就沒奶了，還不趕快吃啊==,02/20,2022,2
333,tearness,噓,幹你娘臭尼哥肥豬趕快去採棉花,02/20,2022,1
334,b2305911,推,甲甲很多肌肉健身仔 反觀8+9都瘦皮猴,04/11,2022,2
335,SkyShih,噓,腿粗,09/25,2022,1
336,fox875566,→,生而為人 我很抱歉,12/08, 2022,0
337,JRSmith,推,刺青身材要壯 竹竿刺青超難看,09/14,2021,2
338,ePaper,噓,那只是你沒看過叫AMBER的肥婆,01/25,2022,1
339,adi5566,噓,醜胖子變醜瘦子,06/22,2022,3
340,dick929,→,龍妹發個廢文附張圖，立刻刷到爆文,05/15,2022,1
341,hiphopmei,推,想幹死肥婆ㄅ,09/29,2021,1
342,hosen,→,胖女人，一團肉確實滿噁的,11/30,2021,1
343,whiteblack19,→,脫了  不洗澡體臭啥的根本不算事,10/13, 2022,0
344,z0,→,直接就投,09/28, 2022,0
345,chouvincent,→,nerd超多 交也是交龍妹,10/13,2021,1
346,jokc7839,→,記者也很故意這種標題就不會說正妹,11/09, 2021,0
347,a27588679,噓,中分肥宅 不就金小胖,07/14,2022,0
348,kaichun,噓,醜死了，身材接近義民廟神豬季,08/17,2022,1
349,bolue,推,真的看地點啊 生活機能滿分的話 有何不妥,12/14, 2022,0
350,Philethan,推,有捐有推  不過還是要割啊！！！XDDDDDDDD,09/29, 2015,0
351,GGrunrundela,噓,真希望我那菸槍醜女噁肥龍賤種醜婊,02/23,2022,1
352,DolphinCP,→,就是會變這麼笑話....,01/07, 2023,0
353,after1,噓,綠師,12/21, 2022,0
354,secret1414,推,不舉還要別人負責,12/30, 2021,0
355,dyc2008,→,醜又沒奶 0分,06/07,2022,2
356,s8402019,推,高調,06/14, 2021,0
357,Dcwei,推,一定是龍妹 才會如此抗拒,05/22,2022,1
358,garcia,推,中華民國倒了就不用還了 好像還不錯,12/19, 2021,0
359,mack860120,推,老蘇好帥,05/10, 2022,0
360,wolver,噓,鳥仔腳,05/25,2022,2
361,bigoldtwoyes,推,二樓勃起被五樓發現,01/06, 2022,0
362,Brad255,推,請回西洽,11/18, 2022,0
363,DogBe105,噓,唯一支持海洋56,06/17, 2017,0
364,EvilPrada,噓,又肥又醜又壞心  沒救了,10/07,2021,1
365,anly888,推,"你約龍妹，就可以AA,龍妹會很珍惜約會時",02/02,2022,1
366,JUSTMYSUN,推,現在買到除了法環還能玩什麼？肥婆歷險,02/15,2022,1
367,pp810207,→,自己愛吃又愛嫌，根本沒有哪裡怪,06/09, 2022,0
368,iou861007,噓,肥宅呼吸就會胖,03/12,2022,1
369,tatol,推,:一樓 我只能說是病了,05/13, 2011,0
370,wayne62,噓,"有解釋啊 ""單純的傳統安慰劑組對照三期",11/04, 2021,0
371,monitor,→,帥的男生，不要才是要。醜的肥宅不要就是,09/12,2021,1
372,crimson11,→,龍妹使壞有人理她嗎？同理可證 都是寵,12/01,2021,1
373,bbss,→,68連結18才對 手指太肥==,09/16,2022,0
374,Gentile,推,鳥仔腿超難看,07/10,2022,2
375,radiodept,推,陳菊超級肥超級胖噁母豬,03/16,2022,1
376,kawazakiz2,推,今天怎麼沒奶子,11/10,2022,2
377,Warheart,→,衣後很色精蟲衝腦更棒 原po肥腿這種 穿,06/10,2022,1
378,dbdudsorj,→,女權就是一群龍妹在擔心正妹被意淫,05/26,2022,1
379,CGtheGREAT,推,基本上第七艦隊的主力都到了,08/02, 2022,0
380,nikewang,→,想看肥宅屁股,11/15,2021,0
381,saintmagic,推,臉不太行 不過真的大,10/20, 2022,0
382,noah23,→,台女啊 又肥又醜卻怪別人,01/23,2022,1
383,xiemh420,推,鳥仔腳啊,11/05,2021,2
384,a210510,推,一定是扁奶又醜又龍,11/05,2022,2
385,genovis,噓,好多恐龍妹，噁心，醜人,10/22,2021,1
386,sky912745,→,示意推屁股太塌了吧,09/06,2021,2
387,lsps40803,噓,被砍才是好不好,03/10, 2022,0
388,v21638245,噓,allgg,05/06, 2022,0
389,newsyho,→,看來肥婆很不滿自己桌上髒髒的,10/28,2022,1
390,YCTING,噓,你太年輕了 龍妹也是一堆人搶著上啦,01/19,2022,1
391,s155260,→,沒奶沒臉沒腿的才會在那譴責,12/04,2021,2
392,sjfrnbu,→,應該又肥又老又醜,09/01,2021,1
393,andytaso,→,沒奶 滾,10/31,2022,2
394,as05006,推,太晚換人,01/11, 2022,0
