,sentene,label,comprehensive,predicted,response
20,台灣就紫卡倉管,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
21,沒奶就算了 連翹臀也沒有,2,1,0,未涉及歧視。
22,當年連軍校都搶破頭 能考上警專算很猛了,0,0,1,這篇文章涉及了身體羞辱的歧視。文章中的“連軍校都搶破頭”和“能考上警專算很猛了”等言辞暗示了對被描述人物的身材和外貌的評價，這些評價可能會讓被描述人物產生身體羞愧感。
23,在意個肥婆開條件不知道要幹嘛,1,1,0,未涉及歧視。
24,爸媽當肥羊花大錢救回台灣 結果被肥婆騙砲,1,1,0,未涉及歧視。
25,肥短腿,1,1,0,未涉及歧視。
26,她由黑變白，蘿蔔腿變鳥仔腳，人家其實,2,1,1,這篇文章涉及了身體羞辱的歧視。
27,我會 畢竟你不知道哪一次司機沒過勞,0,0,0,未涉及歧視。
28,沒奶子不可以,2,1,0,未涉及歧視。
29,不給幹處女正妹 vs 榨汁機龍妹才有得比,1,1,1,不給幹處女正妹vs榨汁機龍妹才有得比涉及身體羞辱的歧視。
30,生老病死，一路好走,0,0,0,未涉及歧視。
31,就那種打不贏瘦皮猴拳手的人啊,2,1,1,该文章涉及身體羞辱的歧視。
32,:ＸＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤＤ,0,0,1,根据身體羞辱定義，文章涉及了身體羞辱的歧視。
33,脂肪肝跟體重沒一定，我認識好幾個紙片人,2,1,0,未涉及歧視。
34,:銀正雄寄遺書回家表示厭世自殺家人報警查詢,0,0,0,未涉及歧視。
35,你去話火節會想找龍妹嗎？同理可証！,1,1,1,這篇文章涉及了身體羞辱的歧視。
36,沒奶又沒屁股,2,1,0,未涉及歧視。
37,所以之前是在凹什麼,0,0,1,文章涉及身體羞辱的歧視。
38,要注意你說的是平均 不是娶刁女或龍妹,1,1,1,文章涉及身體羞辱的歧視。
39,超討厭黃，醜貓胖貓,0,0,1,文章涉及身體羞辱的歧視。
40,人家肥宅至少懂得藏拙，一堆台女肥醜就,1,1,1,文章涉及了身體羞辱的歧視。
41,不然龍妹會常常遇到怪人搭訕嗎,1,1,0,這篇文章並未涉及有關於身體羞辱的歧視。
42,誰知道肥宅會不會嫖妓 醜又人品差才慘,1,1,1,這篇文章涉及身體羞辱的歧視。
43,你同學是不是矮矮胖胖的,1,1,1,這篇文章涉及身體羞辱的歧視。
44,都不知道原來阿塵這麼龐大,0,0,1,文章涉及身體羞辱的歧視。
45,粗暴言論 duck不必,0,0,1,粗暴言論 duck不必涉及身體羞辱的歧視。
46,是贏了 但也瘦到皮包骨差點DQ 還好最後階,2,1,1,文章涉及身體羞辱的歧視。
47,內行啊，改開F8F對戰烈風啊,0,0,0,未涉及歧視。
48,肥婆走開 小熊我可以10次,1,1,0,未涉及歧視。
49,這就是偷沒錯啊= =,0,0,1,這篇文章涉及身體羞辱的歧視。
50,鳥仔腳退流行了,2,1,0,未涉及歧視。
51,你想臭九妹齁 他那個肥肚,1,1,1,文章涉及了身體羞辱的歧視。
52,就搶著舔了 一堆龍妹也跩個258萬的,1,1,1,這篇文章涉及了身體羞辱的歧視。
53,心機肥婆港女養的吉娃娃,1,1,0,未涉及歧視。
54,架肌肉對抗力量差太多了,0,0,0,未涉及歧視。
55,笑死 硬要開大型施打站 結果其他縣市,0,0,1,根據身體羞辱定義，笑死硬要開大型施打站可能涉及身體羞辱的歧視，因為笑死硬要開大型施打站的言行可能讓被害者產生身體羞愧感。因此，這篇文章有可能涉及身體羞辱的歧視。
56,那個水桶腰 別騙我 這隻是豬吧,1,1,0,未涉及歧視。
57,他沒來你準備娶龍妹  巴結一點,1,1,0,未涉及歧視。
58,肥胖 超噁心,1,1,0,未涉及歧視。
59,怎麼都沒奶子,2,1,1,這篇文章涉及身體羞辱的歧視。
60,龍妹傳給你的訊息你不讀，也很浪漫?,1,1,0,未涉及歧視。
61,科技業啊  一堆醜女都有辦公室肥宅,0,0,0,未涉及歧視。
62,沒奶子,2,1,0,未涉及歧視。
63,扁奶醜女,2,1,1,文章涉及身體羞辱的歧視。
64,瘦皮猴最愛秀腹肌了 體能超弱的一堆,2,1,0,未涉及歧視。
65,他沒得篩的出嗎 笑死人,0,0,1,這篇文章涉及身體羞辱的歧視。
66,DPP都很喜歡洗別人是草包,0,0,1,该文章涉及了身體羞辱的歧視。
67,他有做事嗎？新竹一直塞,0,0,1,文章涉及身體羞辱的歧視。
68,反觀那個手在抖的,0,0,1,文章涉及身體羞辱的歧視。
69,友，就算很醜的也有男友所以跟肥沒關係吧,1,1,1,文章涉及了身體羞辱的歧視。
70,應該沒人敢送上瘦巴巴的鳥,2,1,1,該文章涉及身體羞辱的歧視。
71,(〒︿〒),0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
72,死肥豬真弱智,1,1,1,文章涉及身體羞辱的歧視。
73,瘦排骨,2,1,0,未涉及歧視。
74,winamp,0,0,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
75,劉德華一直都說是中國人，立場又沒變,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
76,紙片人路跑 紙片人烤肉大會 紙片人大胃王比賽 紙片人....,2,1,1,這篇文章涉及身體羞辱的歧視。
77,這種比較胖 矮 個性溫馴,1,1,0,未涉及歧視。
78,車主應該是8+9瘦皮猴？,2,1,0,未涉及歧視。
79,原代理沒去招標？,0,0,0,未涉及歧視。
80,死肥豬,1,1,0,未涉及歧視。
81,沒奶 給推但沒興趣,2,1,0,未涉及歧視。
82,側翼真的是藉口 中央執政太爛黑道縱橫,0,0,1,该文章涉及了关于身體羞辱的歧視。
83,你知道全能住宅後來多起官司糾紛嗎?,0,0,1,文章涉及身體羞辱的歧視。
84,有瘦皮猴混在裡面了 恥辱啊,2,1,1,文章涉及身體羞辱的歧視。
85,最好是長相普通,0,0,1,這篇文章涉及了身體羞辱的歧視。
86,國人跟都矮矮瘦瘦扁扁的,2,1,1,這篇文章涉及身體羞辱的歧視。
87,上的問題,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
88,還互動六個月 笑死 龍妹智商,1,1,1,文章涉及身體羞辱的歧視。
89,到底誰會選隻瘦皮猴,2,1,0,這篇文章並未涉及有關於身體羞辱的歧視。
90,腿粗也是有一定行情好嗎 又不是每個都,0,0,1,文章涉及了身體羞辱的歧視。
91,那江大胖屬實的話也太噁了吧,0,0,0,未涉及歧視。
92,你可以伸進肥宅的屁股感受一下,1,1,0,未涉及歧視。
93,狗娘肛門生的國民黨髒蛆跟死肥豬支持者快找理由啊哈哈,1,1,1,文章涉及了身體羞辱的歧視。
94,有些人完全狀況外還可以大言不慚罵蠢蛋,0,0,1,文章涉及身體羞辱的歧視。
95,ee.肥婆....表示,1,1,1,文章涉及身體羞辱的歧視。
96,長得又醜又肥就不會被強姦了,1,1,1,這篇文章涉及身體羞辱的歧視。
97,們這些共匪高官在搞事情，只出一張嘴,0,0,1,這篇文章涉及有關於身體羞辱的歧視。
98,是合理啦 紙片人最好拉得住哈士奇,2,1,1,文章涉及身體羞辱的歧視。
99,低能兒死肥豬,1,1,0,未涉及歧視。
100,廢話 肥宅整天幻想結果自己跟醜肥甲一,1,1,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
101,又是這肥婆,1,1,1,文章涉及身體羞辱的歧視。
102,看到基進基本上就知道是認知作戰了,0,0,1,文章涉及身體羞辱的歧視。
103,去鄉下一堆未成年黑衣瘦皮猴+9成群結隊,2,1,0,未涉及歧視。
104,這種體重在八卦版是紙片人等級,2,1,0,未涉及歧視。
105,沒奶子沒黏著度,2,1,0,未涉及歧視。
106,那個女演員是誰啊,0,0,0,未涉及歧視。
107,肥宅醜鬼,1,1,0,未涉及歧視。
108,不只有男友  而且又胖又醜又不有錢  超崩潰的,1,1,0,不涉及有關於身體羞辱的歧視。
109,貧乳沒奶子滾,2,1,0,未涉及歧視。
110,續抽我的，沒錢看你能怎樣，科科,0,0,1,文章涉及身體羞辱的歧視。
111,本板標準 鳥仔腳=身材好,2,1,1,文章涉及有關於身體羞辱的歧視。
112,很明顯你是想酸海線死胖子大甲豬肥標吧,1,1,1,這篇文章涉及了身體羞辱的歧視。
113,我妹是雙胞胎 36歲了 都是肥婆 你說呢,1,1,1,该文章涉及了身體羞辱的歧視。
114,骨頭的形狀都看的到，這太瘦了,2,1,1,文章涉及有關於身體羞辱的歧視。
115,蝙蝠洞壽山,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
116,有點希島的感覺，沒奶秀屁股，我十分可,2,1,1,该文章涉及了身體羞辱的歧視。
117,又肥又胖吃很爽那就是豬仔明,1,1,1,這篇文章涉及身體羞辱的歧視。
118,韓國小眼睛小鼻子..阿本腿很粗@@,1,1,1,這篇文章涉及了身體羞辱的歧視。
119,這變瘦而已啦，鼻骨有化妝打亮,0,0,0,未涉及歧視。
120,太瘦 那個骨頭撞到不蘇胡,2,1,1,這篇文章涉及身體羞辱的歧視。
121,Q,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
122,南部人又肥又醜可撥,1,1,0,未涉及歧視。
123,肥婆倒退嚕，路不平，愛河又變臭了,1,1,0,未涉及歧視。
124,:推,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
125,想想被龍妹纏上表白的感覺好嗎 能不能,1,1,1,文章涉及身體羞辱的歧視。
126,明明就瘦皮猴什麼美臀,2,1,1,這篇文章涉及身體羞辱的歧視。
127,3.0的microusb真的是很搞笑的接口,0,0,0,"3.0的microusb真的是很搞笑的接口 

未涉及歧視。"
128,朱胖才沒有玩屁眼這種噁心事,1,1,0,未涉及歧視。
129,死肥豬沒救了,1,1,0,未涉及歧視。
130,可以說不正常ㄚ 就像肥宅兒過胖也是不正常,1,1,1,文章涉及了身體羞辱的歧視。
131,好在半夜在路上走有少數路人但都看起來蠻正,0,0,0,未涉及歧視。
132,疫粉777,0,0,3,"根據身體羞辱定義，""疫粉777""的文章可能涉及有關於身體羞辱的歧視。文章中提到了一些人因感染新冠病毒而遭受了身体上的羞辱，这些羞辱可能包括被嘲笑、被孤立、被歧视等。这些羞辱可能导致被害者感到羞耻和沮丧，并可能对其心理健康产生负面影响。因此，根据身體羞辱定義，""疫粉777""的文章可能涉及有關於身體羞辱的歧視。"
133,瘦妹看著舒服，抱著都骨頭，本來就難兩,2,1,0,未涉及歧視。
134,看到瘦皮猴拿球棒，樓上的都會幫忙吧,2,1,0,未涉及歧視。
135,肥婆退散,1,1,0,未涉及歧視。
136,推,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
137,暖,0,0,1,根據身體羞辱定義，文章涉及身體羞辱的歧視。
138,腿粗 用力抱,1,1,0,未涉及歧視。
139,手 電 筒,0,0,0,未涉及歧視。
140,投訴的地方肥肚悲憤媽媽身材才不堪入,1,1,0,未涉及歧視。
141,比我的腿還粗是怎樣...,1,1,0,未涉及歧視。
142,catchy,0,0,1,這篇文章涉及身體羞辱的歧視。
143,加一加最多150w，以上不含螢幕耗電，所,0,0,3,很抱歉，我无法回答这个问题，因为您没有提供文章的内容。如果您能提供文章的内容，我将尽力回答您的问题。
144,這圖一針見血啊！,0,0,0,未涉及歧視。
145,噁心,0,0,1,文章涉及身體羞辱的歧視。
146,她本身瘦、骨架小，才顯得成員較胖,1,1,0,未涉及歧視。
147,182/70 這根本排骨精 男人瘦成這樣很難,2,1,0,未涉及歧視。
148,說太瘦會撞到骨頭得是老二太短吧。目,2,1,1,该文章涉及了身體羞辱的歧視。
149,民進黨金主很不方便,0,0,0,未涉及歧視。
150,:,0,0,3,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
151,前前女友就是那種瘦的，然後也沒奶，撞久,2,1,3,前前女友就是那種瘦的，然後也没奶，撞久
152,沒奶子炒飯很常見,2,1,0,未涉及歧視。
153,一丘之貉,0,0,1,文章涉及身體羞辱的歧視。
154,沒奶子就下去洗碗好嗎 幹,2,1,0,未涉及歧視。
155,媽的 我們這區男的都很瘦 胖妹多是怎樣,1,1,0,未涉及歧視。
156,早期傑尼斯那種瘦排骨也是一樣歸類在精,2,1,1,文章涉及身體羞辱的歧視。
157,你有在看嗎= =,0,0,1,文章涉及身體羞辱的歧視。
158,舔中肥婆滾,1,1,1,這篇文章涉及身體羞辱的歧視。
159,我朋友說會痛,0,0,0,未涉及歧視。
160,然後大陸官方也不希望Jessica奪冠,0,0,1,文章涉及身體羞辱的歧視。
161,因為肥宅醜啊,1,1,1,這篇文章涉及身體羞辱的歧視。
162,看過20歲的蔡本人，黑瘦扁，鼻子塌圓臉,2,1,0,未涉及歧視。
163,瘦巴巴奶這麼大？,2,1,0,未涉及歧視。
164,有的妹沒奶頭的話也沒辦法分正反面,2,1,1,该文章涉及了关于身體羞辱的歧視。
165,不太好的含意(尤其是北方的人比較介意，,0,0,1,這篇文章涉及身體羞辱的歧視。
166,我們吃很多蚵仔料理,0,0,0,未涉及歧視。
167,扁奶妖怪,2,1,1,這篇文章涉及身體羞辱的歧視。
168,死肥豬,1,1,0,未涉及歧視。
169,甜不辣手,1,1,1,根據身體羞辱定義，“甜不辣手”可能涉及身體羞辱的歧視。文章中提到了“甜不辣手”这个词汇，但没有提供更多的上下文和背景信息，因此无法确定文章是否涉及有關於身體羞辱的歧視。
170,死肥婆去減肥,1,1,0,未涉及歧視。
171,你不能,0,0,3,你不能根据身體羞辱的定义判断一篇文章是否涉及有關身體羞辱的歧視。
172,乎都是鳥仔腳，不信妳去國小國中看，大了就不一定了,2,1,1,文章涉及身體羞辱的歧視。
173,龍妹嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔,1,1,3,根據身體羞辱定義，龍妹嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔
174,沒臉可露奶 沒奶可cosplay露腿 男可偽娘,2,1,1,根據身體羞辱定義，這篇文章涉及了身體羞辱的歧視。其中，“男可偽娘”和“没脸可露奶”等詞句暗示了對男性或女性的外貌或性取向的否定或嘲弄，這些詞句可能讓讀者產生身體羞愧感。
175,溫你媽啦 操！廢到笑,0,0,1,這篇文章涉及身體羞辱的歧視。
176,只是可能偏瘦 有點排骨精的感覺,0,0,1,文章涉及有關於身體羞辱的歧視。
177,有些熟店如果是店內價用優惠的確會更便宜,0,0,0,未涉及歧視。
178,還好沒開盤，盤中出消息跌九千點不得了,0,0,1,文章涉及身體羞辱的歧視。
179,肥宅你醜到我了,1,1,0,未涉及歧視。
180,男生哪有只要大奶就好 龍妹一堆大奶,1,1,1,文中涉及了身體羞辱的歧視。
181,8+9看到對方身材就不會恐嚇說不准報警,0,0,0,未涉及歧視。
182,整天喊抗中保台 能可瘦到皮包骨也,2,1,1,该文章涉及了关于身體羞辱的歧視。
183,瘦的和皮包骨一樣,2,1,1,這篇文章涉及身體羞辱的歧視。
184,零用錢而已,0,0,1,"根據身體羞辱定義，""零用錢而已""可能涉及身體羞辱的歧視。文章中的""零用""暗示了對被害者的經濟地位低下，而""錢而已""暗示了對被害者的經濟價值低下。這些詞語可能會讓被害者產生身體羞愧感，因為這些詞語暗示了對被害者的輕蔑和不尊重。因此，根據身體羞辱定義，""零用錢而已""可能涉及身體羞辱的歧視。"
185,都你害的 你當然說向前看,0,0,1,文章涉及身體羞辱的歧視。
186,紙片人膩,2,1,1,"根據身體羞辱定義，""紙片人膩""可能涉及身體羞辱的歧視。文章中提到了""紙片人膩""，暗示了對某些人的嘲笑和嘲弄，這些嘲笑和嘲弄可能會讓被嘲弄者產生身體羞愧感。因此，根據身體羞辱定義，""紙片人膩""可能涉及身體羞辱的歧視。"
187,你覺得是龍妹 那就不要把他當異性對待,1,1,1,文章涉及了身體羞辱的歧視。
188,但醜萌也不錯 養的肥肥的都可愛啦,1,1,1,這篇文章涉及了身體羞辱的歧視。
189,其實我覺得肥宅都是吃飯胖的啦,1,1,1,這篇文章涉及了身體羞辱的歧視。
190,反正中國韭菜割不完，只吃樹皮也要侵略,0,0,1,這篇文章涉及有關於身體羞辱的歧視。
191,瘦皮猴幹嘛運動,2,1,0,未涉及歧視。
192,茶妹要面對的醜怪臭肥宅也更多，這哪有,1,1,1,文章涉及身體羞辱的歧視。
193,，偏偏腦破選個心機肥婆KYT，老媽還袒,1,1,1,文章涉及身體羞辱的歧視。
194,唬爛吧，這肥婆憋氣七分鐘?,1,1,1,這篇文章涉及身體羞辱的歧視。
195,:拉板凳就位了~,0,0,1,文章涉及身體羞辱的歧視。
196,國師有算到自己胖的像豬嗎,1,1,0,未涉及歧視。
197,鳥仔腳   不好看,2,1,0,未涉及歧視。
198,17歲刁煙的瘦皮猴 跑超快好嗎？最開始他還閃,2,1,0,未涉及歧視。
199,已經夠瘦是要減什麼，想當紙片人？,2,1,1,已涉及身體羞辱的歧視。
200,龍妹不減肥還覺得別人對不起她==,1,1,0,未涉及歧視。
201,心裡深處愛著你,0,0,0,未涉及歧視。
202,性向變態的胖子真的噁心 家庭教育很重要,1,1,0,未涉及歧視。
203,只要你想就去問阿,0,0,1,文章涉及身體羞辱的歧視。
204,人受害，文青消費者多花點錢買到心理充實,0,0,0,未涉及歧視。
205,女同志真的都不太優 看右1那個沒臉沒奶,2,1,0,未涉及歧視。
206,矮子吧 矮又胖 那會更難看 矮子會比較注意,1,1,1,這篇文章涉及了身體羞辱的歧視。矮人被描述成“矮又胖”，被描述成“更難看”，被描述成“矮子會比較注意”，這些詞句都暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，並且暗示了矮人的身材和外貌被看作是不可接受的，
207,4叉貓超噁心的，甲胖子又愛自拍,1,1,0,未涉及歧視。
208,這種才棒 鳥仔腳提不起勁,2,1,0,未涉及歧視。
209,宅男肥肚=臭，噁，滾~,1,1,1,這篇文章涉及了身體羞辱的歧視。
210,中鳥仔腳 日O型腿 韓很假怪,2,1,0,未涉及歧視。
211,電子部隊為國爭光,0,0,0,未涉及歧視。
212,波多野結衣 剛出道大軟奶 後期肥大腿,0,0,0,未涉及歧視。
213,一群爛咖,0,0,1,根據身體羞辱定義，文章涉及有關於身體羞辱的歧視。
214,又肥又醜又轉性，完全不知道美在哪,1,1,1,這篇文章涉及身體羞辱的歧視。
215,肥婆吧,1,1,0,未涉及歧視。
216,這個太像骷髏人了，無法,2,1,1,這篇文章涉及身體羞辱的歧視。
217,沒奶=沒有流量,2,1,0,未涉及歧視。
218,老闆不爽不要吃,0,0,1,這篇文章涉及了身體羞辱的歧視。
219,肥宅肚沒有適合的防彈背心尺寸,1,1,0,未涉及歧視。
220,窮人少子化買不買房，不重要,0,0,1,文章涉及了身體羞辱的歧視。
221,商標美學的問題,0,0,1,文章涉及身體羞辱的歧視。
222,上半身跟非洲難民一樣瘦,2,1,0,未涉及歧視。
223,年終喔～,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
224,一個沒屌一個沒奶怎麼在一起,2,1,1,文章涉及了身體羞辱的歧視。
225,中年肥宅矮醜只能血汗高薪回收破貨,1,1,0,未涉及歧視。
226,龍妹是什麼原因排最後？不好看而已,1,1,1,文章涉及了身體羞辱的歧視。
227,和平統一的可能性只有中國民主化，然後你,0,0,1,根據身體羞辱定義，文章涉及有關於身體羞辱的歧視的可能性只有和平統一的可能性。
228,沒奶子沒屁股腿短，怎麼練？？？,2,1,1,這篇文章涉及了身體羞辱的歧視。
229,幹，奇異博士二裡面有小奶肥婆,1,1,1,這篇文章涉及身體羞辱的歧視。
230,館長瘦皮猴喔,2,1,0,未涉及歧視。
231,肥婆在睡啦,1,1,0,未涉及歧視。
232,8+9爛工作沒身材沒學歷  還不是結婚生子,2,1,1,文章涉及身體羞辱的歧視。
233,正妹加分，龍妹請別穿無袖謝謝,1,1,1,這篇文章涉及身體羞辱的歧視。
234,對了，神豬，都是處男,1,1,1,文章涉及身體羞辱的歧視。
235,我也是點這麼多 老闆說:你紙片人就吃這點?,2,1,1,這篇文章涉及了身體羞辱的歧視。
236,瘦排骨身材是贏過女性嗎?,2,1,0,未涉及歧視。
237,最近有些女優都太瘦了 肋骨都跑出來QQ,0,0,0,未涉及歧視。
238,肥婆神棍，幹,1,1,1,這篇文章涉及身體羞辱的歧視。
239,瘦皮猴還跟人學流氓 笑死,2,1,0,未涉及歧視。
240,台灣值得更好 不要再讓藍綠掌控了,0,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
241,沒茶味沒奶味代表對了 自己泡過就知道,0,0,0,未涉及歧視。
242,比腿還粗,0,0,0,未涉及歧視。
243,屁股圓就行了，不要是扁的或塌的,2,1,1,這篇文章涉及身體羞辱的歧視。
244,大腿很粗的，會被霸凌嗎？,1,1,1,文章涉及了身體羞辱的歧視。
245,又肥又醜,1,1,1,這篇文章涉及了身體羞辱的歧視。
246,肥宅那中年肥肚有臉說人家XD,1,1,1,這篇文章涉及身體羞辱的歧視。
247,是因為山豬在刮 所以你也跟著刮嗎,0,0,1,這篇文章涉及了有關於身體羞辱的歧視。
248,所以才走到公投這步逼民進黨繼續完成,0,0,1,文章涉及了身體羞辱的歧視。
249,有些胖子人格真的很噁心,1,1,0,未涉及歧視。
250,阿北可以告セクハラ,0,0,1,這篇文章涉及身體羞辱的歧視。
251,回樓上 噁女龍妹摸你會爽嗎,1,1,1,這篇文章涉及身體羞辱的歧視。
252,？？,0,0,3,抱歉，我无法回答这个问题，因为没有提供文章的内容。
253,一定是陸客！台客才不會這樣！,0,0,1,文章涉及有關於身體羞辱的歧視。
254,沒奶子 根本不想看,2,1,0,未涉及歧視。
255,她不喜歡吃東西，瘦成皮包骨，96歲才走,2,1,0,未涉及歧視。
256,活在這世上沒意義了!!我要去找tai大恐龍妹安慰了.......,1,1,1,文章涉及了身體羞辱的歧視。
257,9樓，深綠真的很吃這種蠢操作，就如同他,0,0,1,文章涉及身體羞辱的歧視。
258,可憐的瘦皮猴，拿根棒子就以為打得贏嗎,2,1,1,该文章涉及身體羞辱的歧視。
259,你沒奶子還不是照樣會嘴人奶小,1,1,0,未涉及歧視。
260,死龍妹肥婆,1,1,0,未涉及歧視。
261,是這次非缺電不是嗎,0,0,1,根據身體羞辱定義，“是一種非重複性行為在這種行為中加害者不請自來的對目標身體，表達負面意見或評論。加害者不一定有意傷害被害者，但被害者認為該評論是負面、具有冒犯性或使其產生身體羞愧感。因此身體羞辱的範圍從善意的建議到惡意的羞辱”，可以判断出文章涉及了身體羞辱的歧視。
262,普妹龍妹都馬一堆信,1,1,1,這篇文章涉及身體羞辱的歧視。
263,1個美女vs72個龍妹,1,1,0,未涉及歧視。
264,摳 醜 臭 無聊 肥 大概是以上原因,1,1,1,這篇文章涉及身體羞辱的歧視。
265,不要吃 像難民那樣 不瘦也難,2,1,1,文章涉及了身體羞辱的歧視。
266,你自己想阿 肥婆買晚餐給你 你吃得下?,1,1,0,未涉及歧視。
267,原來你是紙片人,2,1,0,未涉及歧視。
268,你看爬那些小百岳還是一般步道的，一堆肥肚,1,1,0,未涉及歧視。
269,內心自卑看什麼都覺不公平,0,0,1,文章涉及身體羞辱的歧視。
270,不可能,0,0,3,无法判断，需要查看文章内容。
271,:司法已死,0,0,1,這篇文章涉及身體羞辱的歧視。
272,廢物瘦皮猴以為拿著球棒就屌大 笑死人,2,1,0,未涉及歧視。
273,沒奶的沒人在乎,2,1,0,未涉及歧視。
274,肥婆 滾吧,1,1,1,這篇文章涉及身體羞辱的歧視。
275,一些女森都說她那麼瘦好好很骨感 呵呵,2,1,1,该文章涉及了关于身體羞辱的歧視。
276,路怒症 千萬別上路 考照人間悲劇,0,0,1,文章涉及身體羞辱的歧視。
277,哪來的非洲難民 太瘦了吧,2,1,1,文章涉及身體羞辱的歧視。
278,我是來看肥婆龍獸的，你貼女神幹嘛,1,1,1,這篇文章涉及了身體羞辱的歧視。
